Predicted Shock Arrival Time,Difference (hrs),Confidence (%),Submitted On,Lead Time (hrs),Predicted Geomagnetic Storm Parameter(s),Method,Submitted By,CME
"2015-12-30T18:26Z(-7.0h, +7.0h)",-5.6,NA,2015-12-28T17:45Z,54.28,Max Kp Range: 5.0 - 7.0,WEC (GSFC SWRC) ,Yaireska Collado (GSFC),2015-12-28T123900-CME-001
2015-12-30T18:53Z,-5.15,90,NA,NA,Max Kp Range: 4.5 - 6.6, Average of all Methods ,Auto Generated (CCMC),2015-12-28T123900-CME-001
"2015-12-30T20:13Z(-9.43h, +8.53h)",-3.82,100,2015-12-29T03:54Z,44.13,Max Kp Range: 4.0 - 6.0,Ensemble WEC (GSFC SWRC) ,Yaireska Collado (GSFC),2015-12-28T123900-CME-001
"2015-12-30T21:00Z(-12.0h, +12.0h)",-3.03,80,2015-12-28T23:14Z,48.8,Max Kp Range: 4.0 - 7.0,SIDC ,Leila Mays (GSFC),2015-12-28T123900-CME-001
2015-12-31T03:39Z,3.62,NA,2015-12-30T11:45Z,12.28,NA,SPM2 ,Xinhua Zhao (NSSC CAS),2015-12-28T123900-CME-001
"2016-01-03T15:00Z(-12.0h, +12.0h)",NA,40,2016-01-02T11:00Z,28,Max Kp Range: 3.0 - 6.0,SIDC ,Leila Mays (GSFC),2016-01-02T015000-CME-001
2016-01-04T12:46Z,NA,0,2016-01-04T11:03Z,1.72,NA,SPM2 ,Xinhua Zhao (NSSC CAS),2016-01-02T015000-CME-001
2016-01-09T21:44Z,NA,0,2016-01-09T19:59Z,1.75,NA,SPM2 ,Xinhua Zhao (NSSC CAS),2016-01-06T120000-CME-001
2016-01-10T10:37Z,NA,10,NA,NA,Max Kp Range: 2.0 - 4.0, Average of all Methods ,Auto Generated (CCMC),2016-01-06T120000-CME-001
"2016-01-10T23:30Z(-12.0h, +12.0h)",NA,20,2016-01-07T09:25Z,86.08,Max Kp Range: 2.0 - 4.0,SIDC ,Leila Mays (GSFC),2016-01-06T120000-CME-001
2016-01-18T00:40Z,-20.33,0,2016-01-17T20:09Z,24.85,NA,SPM2 ,Xinhua Zhao (NSSC CAS),2016-01-15T000000-CME-001
"2016-01-18T07:54Z(-5.5h, +4.3h)",-13.1,71,2016-01-15T21:37Z,71.38,Max Kp Range: 3.0 - 5.0,Ensemble WEC (GSFC SWRC) ,Leila Mays (GSFC),2016-01-15T000000-CME-001
"2016-01-18T12:38Z(-7.0h, +7.0h)",-8.37,NA,2016-01-15T17:09Z,75.85,Max Kp Range: 3.0 - 5.0,WEC (GSFC SWRC) ,Yaireska Collado (GSFC),2016-01-15T000000-CME-001
2016-01-18T18:02Z,-2.97,34,NA,NA,Max Kp Range: 3.0 - 4.75, Average of all Methods ,Auto Generated (CCMC),2016-01-15T000000-CME-001
"2016-01-19T09:00Z(-12.0h, +12.0h)",12,35,2016-01-16T12:44Z,56.27,Max Kp Range: 3.0 - 4.0,SIDC ,Leila Mays (GSFC),2016-01-15T000000-CME-001
"2016-01-19T12:00Z(-12.0h, +12.0h)",15,30,2016-01-16T18:35Z,50.42,Max Kp Range: 3.0 - 5.0,WEC (Met Office) ,Met Office (Met Office),2016-01-15T000000-CME-001
2016-02-08T21:00Z,-66.9,50,2016-02-06T16:00Z,119.9,Max Kp Range: 4.0 - 7.0,WEC (Met Office) ,Met Office (Met Office),2016-02-05T213000-CME-001
2016-02-08T21:11Z,-66.72,0,2016-02-07T23:30Z,88.4,NA,SPM2 ,Xinhua Zhao (NSSC CAS),2016-02-05T213000-CME-001
2016-02-08T23:03Z,-64.85,4,2016-02-07T03:11Z,108.72,NA,Ensemble WEC (GSFC SWRC) ,Leila Mays (GSFC),2016-02-05T213000-CME-001
2016-02-09T03:38Z,-60.27,23.5,NA,NA,Max Kp Range: 3.5 - 6.5, Average of all Methods ,Auto Generated (CCMC),2016-02-05T213000-CME-001
